gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,lineage
PRKAR2A-AS1,0.036002562165467406,0.21439248236551334,0.7115392454713572,13.5149975,False,LSEC
ARIH2OS,-0.02639670959053589,0.3627300228388298,0.9236912554254992,16.447414,False,LSEC
BSN-AS1,,1.0,1.0,0.0,False,LSEC
SEMA3B-AS1,0.10536092811811283,0.0002700856718989192,0.00629956580672344,15.703604,False,LSEC
ZMYND10-AS1,,1.0,1.0,0.0,False,LSEC
ITIH4-AS1,,1.0,1.0,0.0,False,LSEC
WNT5A-AS1,0.04763805064048966,0.1003338802036869,0.5005094717675248,13.258026,False,LSEC
FLNB-AS1,,1.0,1.0,0.0,False,LSEC
THOC7-AS1,-0.05654491845045424,0.05106583273666962,0.3620261160121491,13.398872,False,LSEC
PSMD6-AS2,-0.008359140154322013,0.7732064333011096,1.0,15.083736,False,LSEC
PRICKLE2-AS3,0.004147809662091001,0.8862942737885409,1.0,14.529043,False,LSEC
ADAMTS9-AS2,0.014102091414437527,0.6268334837212732,1.0,2.8800938,False,LSEC
FOXP1-AS1,,1.0,1.0,0.0,False,LSEC
LINC00877,-0.011497884081903012,0.691811145784,1.0,13.961277,False,LSEC
LINC00870,0.025716115832476717,0.3752403244029142,0.9386446375643912,13.069267,False,LSEC
LINC00960,0.13134695979697225,5.4195775384225e-06,0.00021259524616630082,16.149345,False,LSEC
LINC00971,,1.0,1.0,0.0,False,LSEC
ST3GAL6-AS1,0.038703127033967666,0.18194964316660464,0.65986022018284,14.354558,False,LSEC
ZBTB11-AS1,-0.01319032964665054,0.649288015194223,1.0,3.2394729,False,LSEC
LINC00882,0.08859433848361808,0.0022113292193541665,0.03180628527171076,14.757011,False,LSEC
LINC00636,0.02967892712469444,0.3061209036450706,0.8506708394160191,12.552341,False,LSEC
PLCXD2-AS1,,1.0,1.0,0.0,False,LSEC
SIDT1-AS1,0.03936639369006006,0.1745690151505659,0.6438164960467451,14.107952,False,LSEC
ZBTB20-AS1,,1.0,1.0,0.0,False,LSEC
ZBTB20-AS2,0.06240241176784545,0.031287338132310716,0.262145367069749,16.210691,False,LSEC
ZBTB20-AS3,0.046539006922333835,0.10843112895641113,0.5227713088792335,13.808975,False,LSEC
ZBTB20-AS4,0.015436347075984604,0.5945915969719702,1.0,13.523512,False,LSEC
ARHGAP31-AS1,,1.0,1.0,0.0,False,LSEC
MYLK-AS1,0.03952756483783322,0.17280974046907324,0.6438164960467451,14.685652,False,LSEC
RUVBL1-AS1,,1.0,1.0,0.0,False,LSEC
NPHP3-AS1,,1.0,1.0,0.0,False,LSEC
BFSP2-AS1,,1.0,1.0,0.0,False,LSEC
IL20RB-AS1,,1.0,1.0,0.0,False,LSEC
ATP1B3-AS1,,1.0,1.0,0.0,False,LSEC
PLS1-AS1,,1.0,1.0,0.0,False,LSEC
SLC9A9-AS2,,1.0,1.0,0.0,False,LSEC
TM4SF1-AS1,0.030536430901403847,0.2923512100893348,0.8326702782412406,14.665661,False,LSEC
