gene,is_lncRNA,hvg_standard,hvg_forced,mean_raw,var_raw,index_of_dispersion,n_detected
SDC3,False,True,True,0.070307,0.333512,4.743634,4154.0
PUM1,False,False,False,0.146514,0.170356,1.162728,19462.0
NKAIN1,False,False,False,2e-05,2e-05,0.999987,3.0
SNRNP40,False,False,False,0.125086,0.126798,1.013683,17814.0
ZCCHC17,False,False,False,0.147019,0.163646,1.113098,19820.0
RP11-266K22.2,False,False,False,5.9e-05,5.9e-05,0.999948,9.0
FABP3,False,False,False,0.01482,0.029363,1.981212,1559.0
SERINC2,False,False,False,0.007237,0.01016,1.404005,944.0
RP11-439L8.3,False,False,False,0.000439,0.000531,1.208524,61.0
RP11-439L8.4,False,False,False,0.000472,0.000524,1.110646,68.0
TINAGL1,False,True,True,0.013057,0.056057,4.293196,868.0
PEF1,False,False,False,0.106739,0.107984,1.011666,15363.0
RP11-73M7.6,False,True,True,0.000256,0.000256,0.999751,39.0
RP11-73M7.9,False,False,False,0.000524,0.000524,0.999482,80.0
COL16A1,False,False,False,0.000832,0.001264,1.518863,103.0
BAI2,False,False,False,0.001141,0.001165,1.021855,172.0
SPOCD1,False,False,False,0.00017,0.000197,1.153683,24.0
RP11-84A19.2,False,False,False,0.00076,0.00076,0.999246,116.0
RP11-84A19.4,False,False,False,0.0031,0.003156,1.018048,468.0
PTP4A2,False,False,False,0.688979,1.050233,1.524331,66523.0
AL136115.1,False,False,False,0.000177,0.000177,0.99983,27.0
RP4-534N18.2,False,False,False,0.000826,0.000838,1.015054,125.0
KHDRBS1,False,False,False,0.36599,0.448249,1.224759,43104.0
RP11-277A4.4,False,False,False,0.003238,0.00328,1.012963,490.0
TMEM39B,False,False,False,0.031214,0.032167,1.030531,4617.0
KPNA6,False,False,False,0.110882,0.121923,1.099577,15307.0
TXLNA,False,False,False,0.049922,0.053303,1.067732,7208.0
CCDC28B,False,False,False,0.039486,0.043827,1.109923,5628.0
RP4-622L5.7,False,False,False,0.000734,0.000747,1.01713,111.0
